t,E,Ux,U0,Ug,Pg,Uk,Pk,TQ,Rs,RX_h1,Tsvp,Tgaz,T_combined,original_t,global_time,file_index,file_name
1271.569,0.105,0.0167175,0.0224505,0.13868,13.492,0.14769,14.76,1.8810640971931298e-07,88.87256965323711,88.87256965323711,2.0815610332997343,1.7824639664649151,2.0815610332997343,1271.569,14836.556,2,1542.dat
1273.351,0.5,0.186308,0.250635,0.13878,13.502,0.14805,14.797,2.1e-06,88.71809523809524,88.71809523809524,2.0830915920393167,1.7838005652120328,2.0830915920393167,1273.351,14838.338,2,1542.dat
1275.136,-0.5,-0.237354,-0.31975,0.13889,13.513,0.14841,14.833,-2.6790950984499372e-06,88.59483940578578,88.59483940578576,2.0845794238096316,1.7852708506148198,2.0845794238096316,1275.136,14840.123,2,1542.dat
1276.919,-1.5,-0.664084,-0.906985,0.13897,13.521,0.14879,14.87,-7.599371596145791e-06,87.38669922876342,,2.086107189932541,1.7863401667121197,2.086107189932541,1276.919,14841.906,2,1542.dat
1278.641,-1.5,-0.664138,-0.907145,0.13903,13.527,0.14913,14.904,-7.600712191034772e-06,87.37839077545486,,2.087509840434979,1.787142163524081,2.087509840434979,1278.641,14843.628,2,1542.dat
1280.359,-1.5,-0.664028,-0.907373,0.13914,13.538,0.14948,14.939,-7.602622538751571e-06,87.34196609332655,,2.088952505571062,1.7886125126939854,2.088952505571062,1280.359,14845.346000000001,2,1542.dat
1282.138,0.1,0.0167434,0.0224675,0.13922,13.546,0.14983,14.974,1.882488479262673e-07,88.94290820073437,88.94290820073438,2.0903939163273364,1.789681875168517,2.0903939163273364,1282.138,14847.125,2,1542.dat
1283.859,0.1,0.016718,0.0224878,0.13932,13.556,0.15021,15.012,1.8841893590280688e-07,88.72781241384217,88.72781241384217,2.0919574602679494,1.7910185991323677,2.0919574602679494,1283.859,14848.846000000001,2,1542.dat
1285.575,0.1,0.0167206,0.022459,0.13945,13.569,0.15055,15.047,1.8817762882279013e-07,88.8554080769402,88.8554080769402,2.0933962656597624,1.7927563749548359,2.0933962656597624,1285.575,14850.562,2,1542.dat
1287.295,0.1,0.0166913,0.0224629,0.13948,13.572,0.1509,15.081,1.8821030582320907e-07,88.68430411923659,88.68430411923659,2.094792771150912,1.7931574057104274,2.094792771150912,1287.295,14852.282000000001,2,1542.dat
1289.18,0.0,-0.0219521,-0.0295841,0.13956,13.58,0.15129,15.121,-2.4787683284457477e-07,88.56051510777748,88.56051510777749,2.0964342200533905,1.794226831262836,2.0964342200533905,1289.18,14854.167000000001,2,1542.dat
1290.959,0.131,0.0292392,0.0394144,0.13965,13.589,0.15165,15.157,3.3024214495182243e-07,88.53866911585612,88.53866911585611,2.0979101426456737,1.7954299527509339,2.0979101426456737,1290.959,14855.946,2,1542.dat
1292.681,0.131,0.0292388,0.0393815,0.13972,13.595,0.15198,15.19,3.299664851277755e-07,88.6114236380026,88.61142363800259,2.0992619252177915,1.7962320441794646,2.0992619252177915,1292.681,14857.668000000001,2,1542.dat
1294.461,0.263,0.0846039,0.114175,0.13981,13.605,0.15236,15.228,9.56640134059489e-07,88.43858519816071,88.4385851981607,2.1008171685876054,1.7975688817811355,2.1008171685876054,1294.461,14859.448,2,1542.dat
1296.184,0.263,0.0845893,0.114153,0.13986,13.61,0.15271,15.262,9.56455802262254e-07,88.44036472979248,88.44036472979248,2.102207476197344,1.7982373092793722,2.102207476197344,1296.184,14861.171,2,1542.dat
1297.965,0.394,0.139076,0.187902,0.13996,13.62,0.15306,15.297,1.5743778801843319e-06,88.33711509190961,88.33711509190961,2.103637469083306,1.7995741816710273,2.103637469083306,1297.965,14862.952000000001,2,1542.dat
1299.687,0.394,0.13905,0.18788,0.14005,13.629,0.15341,15.333,1.5741935483870968e-06,88.33094262295081,88.33094262295083,2.1051070457570518,1.8007773866544365,2.1051070457570518,1299.687,14864.674,2,1542.dat
1301.468,0.525,0.186401,0.2518,0.14013,13.637,0.15377,15.368,2.1097612065354004e-06,88.35170512311358,88.35170512311358,2.106534566383574,1.801846917967573,2.106534566383574,1301.468,14866.455,2,1542.dat
1303.191,0.525,0.186055,0.251718,0.14019,13.643,0.15412,15.403,2.109074151654797e-06,88.21643366783464,88.21643366783464,2.1079608731755983,1.8026490761943519,2.1079608731755983,1303.191,14868.178,2,1542.dat
